Date,Open,High,Low,Close,Adj Close,Volume
2016-11-14,58.400002,60.700001,58.009998,58.860001,58.271225,6015901
2016-11-15,59.849998,63.490002,59.849998,61.529999,60.914516,17852373
2016-11-16,61.619999,61.990002,58.900002,60.470001,59.865120,3926159
2016-11-17,60.480000,61.200001,60.480000,60.849998,60.241318,1265250
2016-11-18,60.849998,61.250000,59.650002,59.820000,59.221622,1565553
2016-11-22,59.820000,60.740002,59.040001,59.950001,59.350323,3671330
2016-11-23,59.950001,60.029999,59.090000,59.630001,59.033524,2011679
2016-11-24,60.099998,60.099998,59.130001,59.880001,59.281025,502608
2016-11-25,59.900002,60.599998,59.189999,60.020000,59.419621,1230412
2016-11-28,60.650002,60.650002,59.400002,59.660000,59.063221,2729113
2016-11-29,59.959999,60.240002,59.480000,60.099998,59.498821,3217828
2016-11-30,60.099998,60.599998,59.770000,60.400002,59.795822,2849060
2016-12-01,60.500000,60.990002,59.009998,59.400002,58.805824,1610985
2016-12-02,59.689999,59.750000,58.349998,58.540001,57.954426,1196257
2016-12-05,58.599998,59.490002,58.000000,58.220001,57.637627,2791389
2016-12-06,58.790001,58.790001,57.840000,57.970001,57.390129,1761360
2016-12-07,57.970001,58.840000,57.770000,58.619999,58.033627,2218496
2016-12-08,58.509998,58.759998,57.830002,58.099998,57.518826,2454711
2016-12-09,58.180000,58.189999,57.000000,58.070000,57.489128,2960127
2016-12-13,58.070000,59.430000,58.070000,59.189999,58.597923,2111687
2016-12-14,59.320000,60.290001,59.279999,59.599998,59.003822,2127245
2016-12-15,59.549999,59.549999,58.990002,59.209999,58.617722,1489349
2016-12-16,59.220001,59.630001,58.279999,58.820000,58.231625,2502551
2016-12-19,58.980000,59.540001,58.439999,59.360001,58.766224,1873903
2016-12-20,59.000000,59.610001,58.310001,59.419998,58.825623,1387648
2016-12-21,59.599998,59.599998,58.169998,59.090000,58.498924,2091423
2016-12-22,59.090000,59.090000,58.060001,58.810001,58.221725,1598940
2016-12-23,59.360001,59.360001,58.099998,58.799999,58.211826,1029480
2016-12-26,58.410000,59.000000,58.200001,58.639999,58.053425,366448
2016-12-27,58.990002,58.990002,58.369999,58.750000,58.162327,807913
2016-12-28,58.810001,59.259998,58.400002,58.660000,58.073227,664061
2016-12-29,59.250000,60.410000,59.220001,60.240002,59.637424,613896
2016-12-30,60.180000,60.200001,58.599998,59.330002,58.736526,675312
2017-01-02,59.509998,59.880001,59.330002,59.330002,58.736526,43506
2017-01-03,59.450001,60.099998,59.049999,59.470001,58.875126,745162
2017-01-04,59.759998,59.759998,58.299999,59.320000,58.726624,1158642
2017-01-05,58.610001,59.500000,58.430000,58.950001,58.360325,2173486
2017-01-06,58.400002,59.189999,57.500000,57.669998,57.093128,916201
2017-01-09,57.529999,57.549999,54.049999,54.340000,53.796440,6710469
2017-01-10,54.020000,54.990002,53.000000,53.169998,52.638142,9521883
2017-01-11,53.169998,53.990002,53.029999,53.759998,53.222240,5270534
2017-01-12,53.830002,54.599998,53.669998,54.439999,53.895435,2452965
2017-01-13,54.599998,54.740002,54.230000,54.349998,53.806335,1441291
2017-01-16,54.009998,54.500000,53.040001,53.750000,53.212341,653290
2017-01-17,53.709999,54.250000,52.189999,52.270000,51.747147,4150057
2017-01-18,52.439999,52.570000,51.099998,51.680000,51.163048,3036204
2017-01-19,51.419998,51.459999,49.500000,49.869999,49.371151,3939197
2017-01-20,50.099998,51.490002,50.099998,51.000000,50.489849,2363472
2017-01-23,50.200001,53.389999,50.200001,52.889999,52.360943,3653742
2017-01-24,53.099998,57.049999,53.099998,56.930000,56.360531,6315961
2017-01-25,56.980000,58.880001,56.970001,58.330002,57.746529,5275124
2017-01-26,57.700001,58.790001,57.700001,58.380001,57.796028,5035223
2017-01-27,58.369999,60.630001,58.000000,59.709999,59.112720,4109126
2017-01-30,60.000000,60.000000,59.020000,59.520000,58.924625,3060574
